n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,cm00,cm01,cm10,cm11,MAE,MAPE
5,0,2,1,0.9913,16978,0,150,152,2039.31,79.31
10,0,2,1,0.9913,16978,0,150,152,2012.02,71.52
15,0,2,1,0.9913,16978,0,150,152,1915.48,69.62
20,0,2,1,0.9913,16978,0,150,152,1930.62,71.14
25,0,2,1,0.9913,16978,0,150,152,1895.28,70.04
30,0,2,1,0.9913,16978,0,150,152,1870.16,68.69
35,0,2,1,0.9913,16978,0,150,152,1816.36,68.62
40,0,2,1,0.9913,16978,0,150,152,1872.81,68.94
45,0,2,1,0.9913,16978,0,150,152,1881.58,69.6
50,0,2,1,0.9913,16978,0,150,152,1868.64,68.77
55,0,2,1,0.9913,16978,0,150,152,1858.72,68.36
60,0,2,1,0.9913,16978,0,150,152,1869.72,68.42
65,0,2,1,0.9913,16978,0,150,152,1849.04,67.62
70,0,2,1,0.9913,16978,0,150,152,1846.27,67.3
75,0,2,1,0.9913,16978,0,150,152,1839.81,66.84
80,0,2,1,0.9913,16978,0,150,152,1844.89,66.96
85,0,2,1,0.9913,16978,0,150,152,1842.8,67.17
90,0,2,1,0.9913,16978,0,150,152,1844.47,67.62
95,0,2,1,0.9913,16978,0,150,152,1849.17,67.7
100,0,2,1,0.9913,16978,0,150,152,1866.49,67.72
105,0,2,1,0.9913,16978,0,150,152,1864.13,67.69
110,0,2,1,0.9913,16978,0,150,152,1876.85,67.83
115,0,2,1,0.9913,16978,0,150,152,1879.57,67.72
120,0,2,1,0.9913,16978,0,150,152,1884.23,67.83
125,0,2,1,0.9913,16978,0,150,152,1887.19,67.94
130,0,2,1,0.9913,16978,0,150,152,1891.54,67.85
135,0,2,1,0.9913,16978,0,150,152,1886.9,67.72
140,0,2,1,0.9913,16978,0,150,152,1882.34,67.6
145,0,2,1,0.9913,16978,0,150,152,1882.82,67.54
150,0,2,1,0.9913,16978,0,150,152,1883.96,67.58
75,0,2,1,0.9913,16978,0,150,152,1839.81,66.84
75,10,2,1,0.9913,16978,0,150,152,1848.96,67.05
75,20,2,1,0.9913,16978,0,150,152,1838.35,66.94
75,30,2,1,0.9913,16978,0,150,152,1839.38,66.84
75,40,2,1,0.9913,16978,0,150,152,1839.81,66.84
75,50,2,1,0.9913,16978,0,150,152,1839.81,66.84
75,60,2,1,0.9913,16978,0,150,152,1839.81,66.84
75,70,2,1,0.9913,16978,0,150,152,1839.81,66.84
75,80,2,1,0.9913,16978,0,150,152,1839.81,66.84
75,90,2,1,0.9913,16978,0,150,152,1839.81,66.84
75,100,2,1,0.9913,16978,0,150,152,1839.81,66.84
75,0,2,1,0.9913,16978,0,150,152,1839.81,66.84
75,0,3,1,0.9913,16978,0,150,152,1847.87,66.77
75,0,4,1,0.9913,16978,0,150,152,1843.53,66.78
75,0,5,1,0.9913,16978,0,150,152,1834.16,66.52
75,0,6,1,0.9913,16978,0,150,152,1838.42,66.35
75,0,7,1,0.9913,16978,0,150,152,1823.17,66.14
75,0,8,1,0.9913,16978,0,150,152,1834.46,66.32
75,0,9,1,0.9913,16978,0,150,152,1834.47,66.3
75,0,10,1,0.9913,16978,0,150,152,1839.72,66.06
75,0,11,1,0.9913,16978,0,150,152,1837.13,66.42
75,0,12,1,0.9913,16978,0,150,152,1849.66,66.3
75,0,13,1,0.9913,16978,0,150,152,1825.59,65.91
75,0,14,1,0.9913,16978,0,150,152,1830.6,65.97
75,0,15,1,0.9913,16978,0,150,152,1824.39,66
75,0,16,1,0.9913,16978,0,150,152,1839.65,66.06
75,0,17,1,0.9913,16978,0,150,152,1845.37,66.13
75,0,18,1,0.9913,16978,0,150,152,1839.49,65.96
75,0,19,1,0.9913,16978,0,150,152,1829.01,65.8
75,0,20,1,0.9913,16978,0,150,152,1838.4,65.91
75,0,19,1,0.9913,16978,0,150,152,1829.01,65.8
75,0,19,2,0.9913,16978,0,150,152,1836.94,65.66
75,0,19,3,0.9913,16978,0,150,152,1842.96,65.96
75,0,19,4,0.9913,16978,0,150,152,1851.75,66.32
75,0,19,5,0.9913,16978,0,150,152,1851.27,66.43
75,0,19,6,0.9913,16978,0,150,152,1875.72,67.03
75,0,19,7,0.9913,16978,0,150,152,1891.23,66.75
75,0,19,8,0.9913,16978,0,150,152,1896.12,66.74
75,0,19,9,0.9913,16978,0,150,152,1916.17,67.07
75,0,19,10,0.9913,16978,0,150,152,1921.43,67.2
75,0,19,11,0.9913,16978,0,150,152,1938.75,67.56
75,0,19,12,0.9913,16978,0,150,152,1960.98,68.02
75,0,19,13,0.9913,16978,0,150,152,1970.44,68.2
75,0,19,14,0.9913,16978,0,150,152,1982.9,68.34
75,0,19,15,0.9913,16978,0,150,152,1971.24,68.26
75,0,19,16,0.9913,16978,0,150,152,1989.07,68.63
75,0,19,17,0.9913,16978,0,150,152,2027.84,68.52
75,0,19,18,0.9913,16978,0,150,152,2014.18,68.79
75,0,19,19,0.9913,16978,0,150,152,2016.6,68.84
75,0,19,20,0.9913,16978,0,150,152,2000.46,68.67
